"Designator","Quantity",Value,Footprint,LCSC Part #
"C3, ","1",1uF,0805,C28323
"C6, C5, C4, C7, C8, ","5",0.1uF,0805,C49678
"C9, ","1",10uF,0805,C15850
"D_1, D_2, D_3, D_4, D_5, D_6, D_7, D_8, D_9, D_10, D_11, D_12, D_14, D_15, D_16, D_17, D_18, D_19, D_20, D_21, D_22, D_23, D_24, D_25, D_26, D_28, D_29, D_30, D_31, D_32, D_33, D_34, D_35, D_36, D_37, D_38, D_39, D_42, D_43, D_45, D_46, D_47, D_48, D_49, D_41, D_40, D_13, D_27, D_44, ","49",,SOD-123,C64898
"F1, ","1",500mA,1206,C70076
"R3, R2, ","2",22,0805,C17561
"R4, R5, ","2",5.1k,0805,C27834
"R6, R1, ","2",10k,0805,C17414
"SW6, ","1",,4.60mm x 2.80mm,C72443
"U1, ","1",,SOT143B,C78442
"U2, ","1",,44-TQFP (10x10),C44854
"USB1","1",,,C165948
"Y1, ","1",,3.0 x 1.1mm,C341521
