Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,308.547000,-232.061000,180.000000,bottom
C2,0.1uF,C_0603_1608Metric,299.657000,-244.126000,90.000000,bottom
C3,0.1uF,C_0603_1608Metric,312.357000,-248.698000,0.000000,bottom
C4,0.1uF,C_0603_1608Metric,311.722000,-232.061000,0.000000,bottom
C5,0.1uF,C_0603_1608Metric,299.657000,-237.395000,270.000000,bottom
C6,0.1uF,C_0603_1608Metric,316.929000,-236.887000,0.000000,bottom
C7,10uF,C_0402_1005Metric,304.864000,-230.156000,90.000000,bottom
D_1,D,D_0603_1608Metric,206.994750,-186.523500,90.000000,bottom
D_2,D,D_0603_1608Metric,226.044750,-186.523500,90.000000,bottom
D_3,D,D_0603_1608Metric,245.094750,-186.523500,90.000000,bottom
D_4,D,D_0603_1608Metric,264.144750,-186.523500,90.000000,bottom
D_5,D,D_0603_1608Metric,283.194750,-186.523500,90.000000,bottom
D_6,D,D_0603_1608Metric,302.244750,-186.523500,90.000000,bottom
D_7,D,D_0603_1608Metric,321.294750,-186.523500,90.000000,bottom
D_8,D,D_0603_1608Metric,340.344750,-186.523500,90.000000,bottom
D_9,D,D_0603_1608Metric,359.394750,-186.523500,90.000000,bottom
D_10,D,D_0603_1608Metric,378.444750,-186.523500,90.000000,bottom
D_11,D,D_0603_1608Metric,380.111500,-186.531500,90.000000,bottom
D_12,D,D_0603_1608Metric,381.782700,-186.531400,90.000000,bottom
D_13,D,D_0603_1608Metric,417.640000,-190.278000,90.000000,bottom
D_14,D,D_0603_1608Metric,209.360000,-205.637000,90.000000,bottom
D_15,D,D_0603_1608Metric,230.775500,-205.637000,90.000000,bottom
D_16,D,D_0603_1608Metric,249.825500,-205.637000,90.000000,bottom
D_17,D,D_0603_1608Metric,268.875500,-205.637000,90.000000,bottom
D_18,D,D_0603_1608Metric,287.925500,-205.637000,90.000000,bottom
D_19,D,D_0603_1608Metric,306.975500,-205.637000,90.000000,bottom
D_20,D,D_0603_1608Metric,326.025500,-205.637000,90.000000,bottom
D_21,D,D_0603_1608Metric,345.075500,-205.637000,90.000000,bottom
D_22,D,D_0603_1608Metric,364.125500,-205.637000,90.000000,bottom
D_23,D,D_0603_1608Metric,383.175500,-205.637000,90.000000,bottom
D_24,D,D_0603_1608Metric,402.225500,-205.637000,90.000000,bottom
D_25,D,D_0603_1608Metric,426.149000,-205.637000,90.000000,bottom
D_26,D,D_0603_1608Metric,214.059000,-224.687000,90.000000,bottom
D_27,D,D_0603_1608Metric,240.300500,-224.687000,90.000000,bottom
D_28,D,D_0603_1608Metric,259.350500,-224.687000,90.000000,bottom
D_29,D,D_0603_1608Metric,278.400500,-224.687000,90.000000,bottom
D_30,D,D_0603_1608Metric,297.450500,-224.687000,90.000000,bottom
D_31,D,D_0603_1608Metric,316.500500,-224.687000,90.000000,bottom
D_32,D,D_0603_1608Metric,335.550500,-224.687000,90.000000,bottom
D_33,D,D_0603_1608Metric,354.600500,-224.687000,90.000000,bottom
D_34,D,D_0603_1608Metric,373.650500,-224.687000,90.000000,bottom
D_35,D,D_0603_1608Metric,392.700500,-224.687000,90.000000,bottom
D_36,D,D_0603_1608Metric,411.750500,-224.687000,90.000000,bottom
D_37,D,D_0603_1608Metric,429.451000,-224.687000,90.000000,bottom
D_38,D,D_0603_1608Metric,206.963000,-243.737000,90.000000,bottom
D_39,D,D_0603_1608Metric,228.283000,-243.737000,90.000000,bottom
D_40,D,D_0603_1608Metric,249.825500,-243.737000,90.000000,bottom
D_41,D,D_0603_1608Metric,287.846000,-243.737000,90.000000,bottom
D_42,D,D_0603_1608Metric,344.996000,-243.745000,90.000000,bottom
D_43,D,D_0603_1608Metric,385.432800,-245.319800,270.000000,bottom
D_44,D,D_0603_1608Metric,406.988000,-243.737000,90.000000,bottom
D_45,D,D_0603_1608Metric,428.308000,-243.745000,90.000000,bottom
F1,500mA,Fuse_1206_3216Metric,395.542000,-195.612000,0.000000,bottom
R1,10k,R_0603_1608Metric,314.135000,-232.823000,270.000000,bottom
R2,5.1k,R_0603_1608Metric,395.224500,-181.070500,270.000000,bottom
R3,5.1k,R_0603_1608Metric,409.067500,-181.070500,270.000000,bottom
R4,22,R_0603_1608Metric,402.781000,-192.881500,90.000000,bottom
R5,22,R_0603_1608Metric,404.305000,-192.881500,90.000000,bottom
R6,10k,R_0603_1608Metric,303.213000,-248.698000,0.000000,bottom
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,192.977000,-224.695000,270.000000,bottom
U1,SRV05-4,SOT-23-6,402.082500,-188.055500,180.000000,bottom
U2,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,307.968600,-240.788700,270.000000,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,402.034500,-173.609000,0.000000,bottom
Y1,Resonator_Small,Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering,318.199000,-240.443000,90.000000,bottom
